CNL_OFICINA,CNL_PERIODO,CNL_TERMINAL,N
084,201703,BOW708423,776
084,201703,BOW708401,5382
084,201703,BOW708402,5925
084,201703,BOW708437,901
084,201703,BOW708403,6271
084,201703,BOW308420,544
084,201703,BOW708422,565
084,201703,BOW708436,482
084,201703,W7SIOP075,3
084,201703,W7SIOP054,3
084,201704,BOW708402,4838
084,201704,BOW708401,4622
084,201704,BOW708403,5141
084,201704,BOW308420,535
084,201704,BOW708423,610
084,201704,BOW708437,509
084,201704,BOW708422,455
084,201704,BOW708436,397
084,201704,W7SIOP054,3
084,201704,BOD084,1
084,201705,BOW708403,4498
084,201705,BOW708402,3297
084,201705,BOW708401,3497
084,201705,BOW308420,326
084,201705,BOW708422,162
084,201705,BOW708437,420
084,201705,BOW708436,316
084,201705,BOW708423,485
084,201705,W7SIOP054,4
084,201706,BOW708403,5103
084,201706,BOW708401,5127
084,201706,BOW308420,500
084,201706,BOW708423,787
084,201706,BOW708402,4750
084,201706,BOW708436,494
084,201706,BOW708437,187
084,201706,BOW708422,592
084,201706,W7SIOP054,6
084,201706,BOD084,62
084,201707,BOW708402,5438
084,201707,BOW708423,906
084,201707,BOW708436,563
084,201707,BOW708403,5563
084,201707,BOW708401,5081
084,201707,BOW308420,472
084,201707,BOW708422,651
084,201707,W7SIOP054,4
084,201707,BOD084,1
084,201708,BOW708403,4833
084,201708,BOW708401,4371
084,201708,BOW708422,696
084,201708,BOW708402,4253
084,201708,BOW708423,865
084,201708,BOW308420,521
084,201708,BOW708436,501
084,201708,W7SIOP054,6
084,201708,BOD084,13
084,201709,BOW708402,4892
084,201709,BOW708401,5046
084,201709,BOW708403,5408
084,201709,BOW708436,601
084,201709,BOW708422,699
084,201709,BOW708423,1032
084,201709,BOW308420,604
084,201709,W7SIOP054,10
084,201709,OCW7970667,3
084,201709,W770782,9
084,201710,BOW708403,5255
084,201710,BOW708402,3961
084,201710,BOW708401,4111
084,201710,BOW708423,849
084,201710,BOW708436,466
084,201710,BOW708422,449
084,201710,BOW308420,447
084,201710,W7SIOP054,6
084,201710,BOD084,1
084,201711,BOW308420,490
084,201711,BOW708423,995
084,201711,BOW708403,6010
084,201711,BOW708402,5222
084,201711,BOW708436,631
084,201711,BOW708401,4003
084,201711,BOW708422,475
084,201711,W7SIOP054,3
084,201712,BOW708402,4587
084,201712,BOW708422,557
084,201712,BOW708403,5406
084,201712,BOW708401,4539
084,201712,BOW708423,1057
084,201712,BOW708436,454
084,201712,BOW308420,625
084,201712,W7SIOP054,12
084,201712,W770782,5
084,201801,BOW708403,5926
084,201801,BOW708401,5009
084,201801,BOW708422,560
084,201801,BOW708436,550
084,201801,BOW308420,543
084,201801,BOW708402,4567
084,201801,BOW708423,1046
084,201802,BOW708422,575
084,201802,BOW708403,5116
084,201802,BOW708401,4997
084,201802,BOW708402,4802
084,201802,BOW308420,520
084,201802,BOW708423,908
084,201802,BOW708436,453
084,201802,W7SIPR001,3
084,201802,BOD084,1
084,201802,W7SIOP054,3
084,201803,BOW708402,5882
084,201803,BOW708403,5824
084,201803,BOW708401,5463
084,201803,BOW708423,953
084,201803,BOW708436,541
084,201803,BOW708422,655
084,201803,BOW308420,503
084,201803,BOD084,1
084,201803,W7SIOP054,3
084,201804,BOW708423,112
084,201804,BOW308420,58
084,201804,BOW708401,711
084,201804,BOW708402,803
084,201804,BOW708403,731
084,201804,BOW708436,57
084,201804,BOW708422,105
084,201804,BO008401,4202
084,201804,BO008403,5204
084,201804,BO008402,4832
084,201804,BO008422,508
084,201804,BO008436,635
084,201804,BO008423,843
084,201804,BO008420,363
084,201804,BOD084,1
084,201804,W7SIOP054,3
084,201805,BO008420,404
084,201805,BO008401,5917
084,201805,BO008422,538
084,201805,BO008403,5375
084,201805,BO008436,696
084,201805,BO008423,962
084,201805,BO008402,5917
084,201805,BOW757141,2
084,201806,BO008436,520
084,201806,BO008403,4326
084,201806,BO008402,4790
084,201806,BO008401,4774
084,201806,BO008420,403
084,201806,BO008422,440
084,201806,BO008423,931
084,201806,W7SIPR007,7
084,201807,BO008403,5464
084,201807,BO008401,4657
084,201807,BO008420,455
084,201807,BO008402,4937
084,201807,BO008436,550
084,201807,BO008423,835
084,201807,BO008422,722
084,201807,W7SIPR007,3
084,201807,BOW757141,4
084,201808,BO008403,5637
084,201808,BO008420,490
084,201808,BO008401,5007
084,201808,BO008402,4034
084,201808,BO008423,864
084,201808,BO008422,793
084,201808,BO008436,511
084,201808,W7SIPR007,12
084,201809,BO008402,3931
084,201809,BO008403,5352
084,201809,BO008422,830
084,201809,BO008401,4639
084,201809,BO008420,415
084,201809,BO008436,464
084,201809,BO008423,877
084,201809,W7SIPR007,3
