codigo,Tipología de Oficina,Red,Fecha de Apertura,Nombre,Cantidad Puntos de Atención,Dirección,Indicativo,Teléfono Oficina,Fax,codigoOficina,Nombre Oficina Adscrita,Servilinea,Cliente Externo,Abreviado,Código Dane,Municipio,Departamento,Tipo de Ciudad,Uso del suelo,Región,Zona Comercial,Gerencia Administrativa,Horario Normal,Horario Adicional,Servicio Prestado en Horario Adicional,Atencion a personas con Discapacidad,Servicaja,Cajero Automático,Depositario,Kioscos,Multifuncionales ,Servilinea,Internet,Cantidad de filas propuestas ,Fila Invitados ,Fila Preferencial,Fila Clientes,Fila Tarjeta Verde
0,Oficina,PMP,27/08/1964,Oficina Principal,1,Calle 36 N° 7 - 47,51,6 079002 - Cel. Gerente: 318 3823260 Cel JDS: 3184316555 - 3184140258,,,,3 820000  ,3077000 + Cód.. Oficina,44000,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Sur,BS - 02 Bogotá - Teusaquillo,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,3,1,1,0,Sí,No,3,X,X,X,
2,Oficina,PMP,10/08/1966,Centro ADM CAN,1,Calle 44 N° 59 - 26,51,3077000 Cód. 002 - 2220777 -  2224902 - 2221214 - Cel. Gerente: 3168741181 - Cel JDS: 3183271535,,,,3 820000  ,3077000 + Cód.. Oficina,44002,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Sur,BS - 04 Bogotá - Cl. 26,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,0,0,0,Sí,No,4,X,X,X,X
4,Oficina,MB,Al 31 de Enero,Calle 53 -Éxito,1,Carrera 13 N° 52A - 12,51,2485890-2485874-2485894-2485884-2485876 - Cel. Gerente: 3185165744 - Cel JDS:3166057376,,,,3 820000  ,3077000 + Cód.. Oficina,44004,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN- 2  Bogotá -  Chapinero,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,3,X,X,X,
5,Oficina,PMP,01/11/1991,Suba,1,Carrera 92 N° 141-30,51,6 835176 - 6 859100 - 6 852186 - 6 852191 -  Cel. Gerente: 316 4740487 - Cel JDS:3184464083,6 815857 Ext.158,,,3 820000  ,3077000 + Cód.. Oficina,44005,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 5  Bogotá - NorOcc.,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,0,0,0,Sí,No,4,X,X,X,X
6,Oficina,PMP,01/10/1987,Cedritos, ,Avenida Carrera 15 N° 140 -21,51,2 580875 - 6 268488 - 6 268491 - 6 268495 - 6 268510  - Cel. Gerente: 315 7269060 - Cel JDS:3184558630,2 580875,,,3 820000  ,3077000 + Cód.. Oficina,44006,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 7  Bogotá - Santa Barbará,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,0,0,0,Sí,No,3,X,X,X,
7,Oficina,PMP,24/04/1962,Antiguo Country,1,Carrera 16 A N° 84-81,51,2 569361 - 2 577320 - 2 572185 - 318 3509407 - Cel. Gerente: 317 5098088 - Cel JDS:3182101823,,,,3 820000  ,3077000 + Cód.. Oficina,44007,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 4  Bogotá - Cr. 7,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
8,Oficina,PMP,16/11/1964,El Chico,1,Carrera 11 N° 87 - 51,51,6 405035 - 6 405024 - 6 405030 - 6 405032 - 6 405033 - 6 405025 - 6 405034 - 318 3509411 - Cel. Gerente: 317 6366096 - Cel SDS:3182101682 - Cel JDS: 173759594,,924,Extensión de Caja Premium Urban Plaza,3 820000  ,3077000 + Cód.. Oficina,44008,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Norte,BN - 4  Bogotá - Cr. 7,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
9,Oficina,PMP,10/06/1968,Calle 100,1,Transversal 17 N° 97 - 61/91,51,2 578850 - 2 560626 - 2 560912 - 2 560913 - 2 560921 - 2 578222 - 2 560943 - 2 560952 -  Cel. Gerente: 317 4289096 - Cel JDS:3177007903,2 578850,,,3 820000  ,3077000 + Cód.. Oficina,44009,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Norte,BN - 4  Bogotá - Cr. 7,Bogotá Norte,Lunes a Viernes    9:00 a.m.  - 3:30 p.m.  Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,2,1,1,0,Sí,No,3,X,X,X,
10,Oficina,PMP,19/08/1954,Avenida Caracas,1,Avenida Caracas N° 17-18,51,3 077000 Cód. 010 - 2 434852 - 3 428500 -     3 428490  - Cel. Gerente: 315 7003044 - Cel JDS:3159288079,,,,3 820000  ,3077000 + Cód.. Oficina,44010,11001,Bogotá D.C.,Bogotá D.C.,Principal,Comercial,Bogotá Sur,BS - 03 Bogotá - Centro Oriental,Bogotá Sur,Lunes a Viernes    9:00 a.m. - 3:30 p.m. ,NO,,No,NO,1,1,0,0,Sí,No,4,X,X,X,X
11,Oficina,MB,28/01/1985,Bacata Funza,1,Avenida 14 N° 13-69,51,8 257285 -8 257110  -  8 263655- Cel. Gerente: 318 4002865-Cel. Jds: 318 7354232 - 321 2063461 - Cel JDS:3175715558 - Cel JDS HA 3175849651,8257115,,,3 820000,3077000 + Cód.. Oficina,8770011,25286,Funza,Cundinamarca,Población,Comercial,Central, CE - 2 Cundinamarca - Sabana,Central,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,Lunes a Viernes 5:00 p.m. - 8:00 p.m.   / Sábado 9:00 a.m. - 12:00 p.m.,Caja,No,NO,2,0,0,0,Sí,No,3,X,X,X,
12,Oficina,PMP,11/09/1973,Pasadena,1,Calle 102 A N° 51-31,51,2 560733 - 2 560500 - 2 562934 - 2 561892 - 2 562624-  Cel. Gerente: 318 7079578 - Cel JDS:3176998128,2 186256,,,3 820000  ,3077000 + Cód.. Oficina,44012,11001,Bogotá D.C.,Bogotá D.C.,Principal,Residencial,Bogotá Norte,BN - 3  Bogotá - Cl. 72,Bogotá Norte,Lunes a Viernes    9:00 a.m. - 3:30 p.m.   Fin de Mes  9:00 a.m. - 3:00 p.m.,NO,,No,NO,1,1,0,0,Sí,No,3,X,X,X,
13,Oficina,PMP,15/10/2013,Galán,1,Calle 52 N° 27-35/45,57,6 027580 - 6 030801 - 6 026650 - Cel. Gerente: 317 3653965 - Cel JDS:3184558485,,,,,,,68081,Barrancabermeja,Santander,Población,Comercial,Oriente,OR -4 Magdalena Medio Orien.,Oriente,Lunes a Viernes    8:00 a.m. -11:30 a.m.  / 2:00 p.m. - 4:30 p.m.,Sábado 9:00 a.m. - 1:00 p.m.,Caja / Plataforma,No,NO,2,0,0,1,Si,No,4,X,X,X,X
